Author_id,Count,Non_Lxi,CountN,CountNC,Behavior
216205,3,"['N', 'NC', 'N']",2,1,['both']
215216,4,"['N', 'N', 'NC', 'NC']",2,2,['both']
216797,2,"['N', 'NC']",1,1,['both']
224561,2,"['N', 'NC']",1,1,['both']
226069,1,['N'],1,0,['thread comment']
226023,3,"['N', 'N', 'N']",3,0,['thread comment']
217998,1,['NC'],0,1,['comment']
220025,1,['NC'],0,1,['comment']
224838,1,['N'],1,0,['thread comment']
218026,2,"['N', 'NC']",1,1,['both']
216187,3,"['NC', 'N', 'NC']",1,2,['both']
212224,11,"['N', 'NC', 'N', 'NC', 'NC', 'N', 'NC', 'NC', 'NC', 'NC', 'NC']",3,8,['both']
212607,4,"['N', 'NC', 'N', 'NC']",2,2,['both']
219402,1,['NC'],0,1,['comment']
219679,1,['N'],1,0,['thread comment']
219669,2,"['N', 'NC']",1,1,['both']
218888,1,['N'],1,0,['thread comment']
224690,1,['N'],1,0,['thread comment']
220850,1,['N'],1,0,['thread comment']
216273,1,['N'],1,0,['thread comment']
213529,2,"['N', 'NC']",1,1,['both']
224365,1,['N'],1,0,['thread comment']
224425,1,['N'],1,0,['thread comment']
225843,1,['N'],1,0,['thread comment']
220388,10,"['N', 'NC', 'NC', 'N', 'NC', 'NC', 'NC', 'NC', 'N', 'NC']",3,7,['both']
225040,1,['N'],1,0,['thread comment']
224397,1,['N'],1,0,['thread comment']
218966,1,['N'],1,0,['thread comment']
214263,1,['N'],1,0,['thread comment']
213526,1,['N'],1,0,['thread comment']
217873,3,"['NC', 'N', 'NC']",1,2,['both']
221942,1,['N'],1,0,['thread comment']
223908,3,"['N', 'NC', 'NC']",1,2,['both']
215471,9,"['N', 'NC', 'N', 'N', 'N', 'NC', 'NC', 'NC', 'N']",5,4,['both']
219164,17,"['N', 'NC', 'N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'NC', 'NC', 'NC']",3,14,['both']
223952,2,"['N', 'N']",2,0,['thread comment']
224691,1,['N'],1,0,['thread comment']
218815,6,"['N', 'N', 'NC', 'NC', 'N', 'NC']",3,3,['both']
214826,19,"['NC', 'NC', 'N', 'NC', 'N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC']",2,17,['both']
224572,4,"['N', 'N', 'NC', 'NC']",2,2,['both']
225826,21,"['N', 'NC', 'N', 'NC', 'NC', 'N', 'NC', 'NC', 'NC', 'N', 'NC', 'NC', 'N', 'NC', 'N', 'NC', 'NC', 'NC', 'NC', 'N', 'NC']",7,14,['both']
211611,9,"['N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'NC']",2,7,['both']
214200,2,"['NC', 'NC']",0,2,['comment']
224743,3,"['NC', 'NC', 'NC']",0,3,['comment']
226351,3,"['N', 'N', 'N']",3,0,['thread comment']
223548,2,"['N', 'N']",2,0,['thread comment']
216276,1,['N'],1,0,['thread comment']
223019,1,['NC'],0,1,['comment']
222280,3,"['N', 'NC', 'N']",2,1,['both']
213518,1,['N'],1,0,['thread comment']
213817,4,"['N', 'N', 'NC', 'NC']",2,2,['both']
213810,6,"['N', 'N', 'NC', 'NC', 'NC', 'NC']",2,4,['both']
220239,3,"['N', 'NC', 'NC']",1,2,['both']
224557,10,"['N', 'NC', 'NC', 'N', 'N', 'NC', 'N', 'N', 'NC', 'NC']",5,5,['both']
214318,5,"['N', 'NC', 'NC', 'NC', 'N']",2,3,['both']
219087,1,['N'],1,0,['thread comment']
214614,8,"['N', 'NC', 'N', 'NC', 'NC', 'N', 'NC', 'N']",4,4,['both']
218889,9,"['N', 'N', 'N', 'NC', 'NC', 'NC', 'NC', 'NC', 'NC']",3,6,['both']
217517,2,"['N', 'NC']",1,1,['both']
211464,1,['N'],1,0,['thread comment']
221901,13,"['N', 'NC', 'NC', 'NC', 'NC', 'NC', 'N', 'N', 'NC', 'NC', 'NC', 'NC', 'N']",4,9,['both']
224760,1,['N'],1,0,['thread comment']
223488,1,['N'],1,0,['thread comment']
110667,1,['NC'],0,1,['comment']
