Checked AuthorID,Total Count
216205,108
215216,34
216797,30
224561,27
226069,1
226023,6
217998,6
220025,6
224838,3
218026,6
216187,95
212224,21
212607,13
219402,22
219679,1
219669,2
218888,1
224690,1
220850,1
216273,3
213529,3
224365,42
224425,28
225843,1
220388,30
225040,20
224397,13
218966,1
214263,5
213526,2
217873,12
221942,4
223908,6
215471,43
219164,135
223952,57
224691,10
218815,15
214826,52
224572,60
225826,268
211611,43
214200,5
224743,15
226351,13
223548,6
216276,16
223019,57
222280,32
213518,6
213817,40
213810,36
220239,9
224557,26
214318,22
219087,1
214614,12
218889,17
217517,21
211464,1
221901,68
224760,1
223488,1
110667,8
219522,74
223011,45
220891,2
216694,24
220127,20
225792,29
226665,2
219517,34
216848,3
226747,1
220959,143
221794,215
226757,1
216622,65
220643,4
226601,3
213753,46
224744,2
217697,17
213794,1
221100,7
224446,31
225389,8
223281,31
225024,4
222994,7
225596,5
219377,7
216035,14
223081,2
223069,128
211523,5
215836,36
216816,2
213919,1
211418,4
220135,34
212405,23
223528,4
213816,25
226876,1
223955,1
222983,35
219446,18
223981,2
219454,26
222437,3
221095,1
211723,1
219232,4
217401,2
226844,32
211524,1
204830,18
217992,61
223719,10
214006,1
225517,38
222567,73
224524,31
219815,5
218128,1
217070,1
218023,1
225997,64
220217,6
217936,2
219973,92
211441,4
215891,9
211527,1
225178,3
212566,1
217678,26
225204,25
226989,2
221865,49
215662,3
222258,4
217901,48
212798,115
212018,41
213975,3
220979,45
222042,145
218262,1
214147,11
226222,4
215342,10
223798,1
214662,2
222249,1
219905,17
223763,31
224712,22
224709,2
225404,74
213901,4
214966,43
224540,18
222506,2
221516,18
211428,29
215820,13
214691,18
223648,15
227009,4
216300,5
227056,59
227045,13
219968,1
226230,22
211679,3
214272,37
110636,8
226994,95
224750,10
218770,2
216370,38
217919,37
220735,26
222825,2
212968,280
217436,12
222378,8
214887,2
224637,55
224484,20
224597,27
215119,1
219468,70
220138,91
215450,15
212892,2
226340,1
217438,27
217434,10
213735,1
226697,4
225561,1
214737,1
219477,61
215521,7
106071,12
216431,150
224231,3
211555,6
215416,37
222454,3
222624,17
227146,4
215437,27
225810,2
227094,1
215347,1
226236,5
225728,29
225149,8
224212,1
227155,1
211492,2
226254,23
224000,26
227183,23
216101,5
225827,49
217441,1
222344,1
215371,1
211496,6
226967,54
211432,6
227078,37
215485,1
212559,29
225702,8
211438,15
224216,11
214223,1
222880,35
222863,11
222566,15
226752,3
214891,1
213450,4
221521,3
216683,11
213554,18
220836,9
226664,1
222873,14
217885,7
215934,18
223520,1
217851,12
221964,38
217653,25
215815,14
222749,85
214504,5
211491,4
216503,1
216506,4
221892,3
222293,3
216094,1
217072,46
216882,31
220950,1
213521,36
224976,2
227076,1
219715,18
226843,5
220614,2
218002,46
213269,1
223786,7
221271,4
211420,6
216239,1
214637,1
225937,4
212527,139
226681,1
221283,25
220476,4
220805,30
217424,13
225536,9
215037,4
217538,26
218116,28
225549,126
221123,3
218786,55
222426,25
219582,1
221273,8
213680,1
223901,18
211737,2
219700,4
219650,3
227265,2
225630,1
221268,47
218165,89
215008,4
218009,78
213596,29
216142,4
217097,83
211522,71
225181,53
218645,1
222810,7
219711,2
224767,39
214484,1
218021,26
226759,12
214644,41
220727,62
222186,1
211447,22
226972,1
213133,4
218227,18
222411,11
227276,1
220167,62
217122,15
222818,13
224110,43
227049,1
227050,1
211536,1
221062,27
221378,53
219561,8
217816,7
215191,88
25328,4
221893,9
215247,9
224198,23
227271,9
211422,1
211540,48
221642,2
219518,4
218399,3
224079,22
219546,9
