Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
221794,72,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",1,0,3,68,['Thread Comment'],['Both']
218165,25,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC']",0,1,2,22,['Comment'],['Both']
221266,7,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'N']",1,0,1,5,['Thread Comment'],['Both']
227084,28,"['blank', 'LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank']",0,1,3,24,['Comment'],['Both']
64825,1,['N'],1,0,0,0,['Thread Comment'],[]
224365,22,"['LxI', 'NC', 'NC', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,2,4,16,['Comment'],['Both']
222749,12,"['LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,2,10,[],['Both']
217538,4,"['LxI', 'LxI', 'blank', 'N']",1,0,2,1,['Thread Comment'],['Both']
222963,39,"['blank', 'blank', 'blank', 'blank', 'N', 'LxI', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N']",2,0,5,32,['Thread Comment'],['Both']
223900,69,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",1,2,4,62,['Both'],['Both']
224423,12,"['blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,3,9,[],['Both']
212367,22,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,3,19,[],['Both']
218190,2,"['N', 'LxI']",1,0,1,0,['Thread Comment'],['Thread Starter']
217530,18,"['blank', 'blank', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'N']",2,0,2,14,['Thread Comment'],['Both']
215191,27,"['LxI', 'LxI', 'LxI', 'blank', 'LxI', 'LxI', 'N', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'blank']",2,0,7,18,['Thread Comment'],['Both']
223853,23,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,2,21,[],['Both']
227007,2,"['LxI', 'LxI']",0,0,2,0,[],['Thread Starter']
225404,23,"['blank', 'LxI', 'LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,1,2,20,['Comment'],['Both']
222175,1,['LxI'],0,0,1,0,[],['Thread Starter']
170642,1,['blank'],0,0,0,1,[],['Blank']
213574,1,['blank'],0,0,0,1,[],['Blank']
220701,15,"['LxI', 'LxI', 'LxI', 'N', 'blank', 'blank', 'blank', 'blank', 'LxI', 'N', 'LxI', 'blank', 'blank', 'blank', 'blank']",2,0,5,8,['Thread Comment'],['Both']
212503,21,"['blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'NC', 'NC', 'LxI', 'LxI', 'blank', 'LxI']",0,5,4,12,['Comment'],['Both']
224110,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
214264,3,"['blank', 'N', 'LxI']",1,0,1,1,['Thread Comment'],['Both']
225181,28,"['blank', 'blank', 'NC', 'N', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",1,2,3,22,['Both'],['Both']
219522,10,"['N', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'blank']",1,0,2,7,['Thread Comment'],['Both']
214966,13,"['blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'LxI']",0,0,5,8,[],['Both']
218250,32,"['NC', 'NC', 'blank', 'blank', 'LxI', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,2,6,24,['Comment'],['Both']
227377,65,"['NC', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'NC', 'N', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'N', 'blank', 'blank', 'blank', 'blank', 'blank']",2,4,4,55,['Both'],['Both']
218021,2,"['blank', 'NC']",0,1,0,1,['Comment'],['Blank']
225690,13,"['N', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",1,0,1,11,['Thread Comment'],['Both']
221924,2,"['N', 'LxI']",1,0,1,0,['Thread Comment'],['Thread Starter']
225926,40,"['blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,3,37,[],['Both']
226227,13,"['blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'blank', 'blank', 'N', 'blank', 'blank', 'blank', 'blank']",1,0,2,10,['Thread Comment'],['Both']
216882,16,"['NC', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank']",0,1,9,6,['Comment'],['Both']
218289,9,"['LxI', 'N', 'LxI', 'N', 'blank', 'LxI', 'blank', 'blank', 'blank']",2,0,3,4,['Thread Comment'],['Both']
224476,1,['LxI'],0,0,1,0,[],['Thread Starter']
220382,13,"['blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'LxI']",0,0,3,10,[],['Both']
211611,5,"['N', 'LxI', 'blank', 'NC', 'NC']",1,2,1,1,['Both'],['Both']
224179,1,['N'],1,0,0,0,['Thread Comment'],[]
211690,9,"['LxI', 'blank', 'LxI', 'LxI', 'LxI', 'blank', 'LxI', 'LxI', 'LxI']",0,0,7,2,[],['Both']
226967,22,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,1,2,19,['Comment'],['Both']
215216,14,"['LxI', 'LxI', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,4,10,[],['Both']
214819,1,['N'],1,0,0,0,['Thread Comment'],[]
211447,2,"['LxI', 'LxI']",0,0,2,0,[],['Thread Starter']
